category_id,origin_id,label_id,name,explanation_url,recipe_url
21,119,109,김치찌개,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62013,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56870
21,120,110,닭개장,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61912,
21,121,111,동태찌개,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62016,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56873
21,122,112,된장찌개,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%90%9C%EC%9E%A5%EC%B0%8C%EA%B0%9C&pagenum=1&idx_no=463,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56871
21,123,113,순두부찌개,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%88%9C%EB%91%90%EB%B6%80%EC%B0%8C%EA%B0%9C&pagenum=1&idx_no=460,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56874
22,124,114,갈비찜,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62035,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56885
22,125,115,계란찜,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62036,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56888
22,126,116,묵은지찜,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62058,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56889
22,127,117,꼬막찜,,
22,128,118,닭볶음탕,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62106,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56887
22,129,119,수육,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62066,
22,130,120,순대,,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56893,
22,131,121,족발,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62076,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56892
22,132,122,찜닭,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62077,
22,133,123,해물찜,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62083,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56895
23,134,124,갈비탕,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EA%B0%88%EB%B9%84%ED%83%95&pagenum=1&idx_no=522,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56852
23,135,125,감자탕,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61957,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56857
23,136,126,곰탕,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=61958,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56854
23,137,127,생선매운탕,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%A7%A4%EC%9A%B4%ED%83%95&pagenum=1&idx_no=503,
23,138,128,삼계탕,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%82%BC%EA%B3%84%ED%83%95&pagenum=1&idx_no=496,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56859
23,139,129,추어탕,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%B6%94%EC%96%B4%ED%83%95&pagenum=1&idx_no=477,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56869
24,140,130,고추튀김,,
24,141,131,새우튀김,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62406,
24,142,132,오징어튀김,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62412,
25,143,133,약과,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62526,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56987
25,144,134,약식,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62507,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56984
25,145,135,유과,,
26,147,136,산낙지,https://www.hansik.or.kr/board/dn/view/017?menuSn=12&bbsSeq=62446,
27,148,137,물회,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EB%AC%BC%ED%9A%8C&pagenum=1&idx_no=95,
27,149,138,육회,http://lampcook.com/food/food_dic_global_view.php?search_mode=2&alpha_no=0&big_no=0&sql_one=%EC%9C%A1%ED%9A%8C&pagenum=1&idx_no=89,https://www.hansik.or.kr/board/re/view/323?menuSn=193&bbsSeq=56978
